"","OPC","AV"
"1",15,0.527846503985294
"2",11,0.463649088521697
"3",11,0.598785045808998
"4",13,0.647938168406865
"5",41,0.68348487738445
"6",12,0.464621954611858
"7",28,1.14010677677196
"8",14,0.306120451685954
"9",11,0.707960076017055
"10",15,0.62340257249178
"11",17,0.400517720421221
"12",5,0.330639584635415
"13",17,0.560976999864093
"14",58,1.53343220866503
"15",106,2.03473532584483
"16",18,0.667100028256639
"17",4,0.401846085374885
"19",17,0.931714393385424
"20",26,0.375624607048071
"23",38,0.798860385209187
"24",36,1.03824275949657
"25",7,0.528997019329908
"26",16,0.927465832314309
"27",28,0.64550741463952
"28",6,0.329792197810814
"29",26,0.854449120193225
"30",43,1.3291208421642
"31",40,0.628626604140848
"32",14,0.615353376120029
"33",15,0.940980238352926
"34",44,0.688281044487834
"35",33,0.873698893837352
"36",30,0.957423002483502
"37",19,0.624913732697865
"38",12,0.473333987329907
"39",12,0.374706285639204
"40",11,0.47871463154848
"41",9,0.419177976708659
"42",19,0.526010109361295
"43",46,1.07038986273033
"44",39,1.26785849026629
"45",29,1.01235290828181
"46",9,0.315883209841424
"47",16,0.378097492142477
"48",15,0.446177923668117
"49",56,1.6730920649511
"50",27,0.770783914255356
"51",23,0.627218489374817
"52",32,1.38994029791784
"53",7,0.31106453036384
"54",30,0.413746006707112
"55",7,0.506705931952572
"56",9,0.345409821195371
"57",22,0.5873975042571
"58",10,0.415132399316284
"59",11,0.334397221144028
"61",28,0.564744947549269
"62",27,0.810493737050555
"63",18,0.542694341713764
"64",29,0.788172242635064
"66",40,1.25766797443611
"67",48,0.888384148207694
"68",8,0.300142428945456
"69",19,0.46435585584983
"70",11,0.745710170186553
"71",27,0.847792598702626
"72",28,0.931611991583104
"73",12,0.562241308148601
"74",46,0.822887982416518
"75",16,0.932520066965401
"76",24,0.802155390497258
"77",6,0.34419012926714
"78",21,0.800881501584963
"79",19,0.775272550119238
"81",18,0.614356666234958
"82",11,0.585719949908275
"83",26,0.642081423663191
"84",47,1.28914610209406
"85",9,0.382699276992325
"86",27,0.749555739242214
"87",12,1.05112346031927
"88",27,0.968876672122485
"89",6,0.380249455466824
"90",33,1.27513644669939
"91",23,1.02102484168688
"93",29,0.326696324187466
"94",45,1.18704758431617
"95",18,0.948740814867522
"96",33,0.585429611987451
"97",11,0.43645065795797
"98",56,1.0875333979329
"99",10,0.409156766011974
"100",93,1.8536793762325
"101",7,0.353908127365664
"102",21,1.20183117049862
"103",23,0.800615333207039
"104",18,0.551293727923106
"105",22,0.669353569743063
"106",15,0.361428514879423
"107",19,0.596205752053204
"108",47,1.39744898184273
"109",10,0.353560946510951
"111",43,1.157482318112
"112",21,1.05019513103481
"113",50,1.56474688888289
"114",18,0.719389409604596
"115",32,0.888811902542795
"116",17,0.411103770876592
"117",86,1.64166345751906
"118",20,0.523131321658997
"119",10,0.372551766700094
"120",11,0.749551137008229
"121",21,0.966116118568726
"122",48,0.555032051708011
"123",77,0.838549594242319
"124",35,0.948623574498924
"125",5,0.321580989377635
"126",14,0.318668537234827
"127",30,1.24693619209093
"128",99,1.70045088885492
"129",44,1.33501289492071
"130",38,0.800441734770538
"131",6,0.660008763449787
"132",14,0.381194901511106
"133",19,0.7653235737888
"134",11,0.369159178763684
"135",46,1.29468574160017
"136",5,0.559856894470159
"137",9,0.426534980860755
"138",5,0.350952192779641
"139",14,0.563004838800457
"140",36,0.970160318227952
"141",7,0.302618276331938
"142",61,1.52139897976438
"143",26,1.21772785422151
"144",17,0.653106875884319
"145",21,0.510547403434562
"147",8,0.335376942537884
"149",26,1.13113176228375
"150",48,0.904537522944092
"151",28,0.542730670094718
"154",12,0.655146970305911
"155",10,0.751863109702166
"171",88,1.88656204441711
"179",29,1.33161992206665
"180",56,1.27139061964492
"181",112,2.09335868326592
"182",42,0.987538741515811
"183",23,0.723013479095915
"185",28,0.810355256853589
"186",16,0.559885530932255
"187",19,0.566579849818765
"188",21,0.856666048301743
"189",51,1.71265569210211
"190",14,0.800701097075994
"191",43,0.855688122737672
"192",21,0.963207004103784
"193",16,1.02588697292908
"194",9,0.552861162871304
"195",78,1.72284407190406
"196",16,0.640010638258241
"197",35,0.528393742450321
"199",28,0.489162012476129
"200",21,0.857313094233459
"201",111,2.25992927216411
"202",19,0.712325739610822
"203",40,1.41366388947747
"204",7,0.482472407282847
"205",13,0.493558679474579
"207",15,0.58737015924558
"208",47,1.39419894599422
"209",39,0.945631287626463
"210",54,0.955249856924676
"211",23,0.914087724224077
"212",8,0.390035831319912
"213",15,0.784754210534764
"214",60,1.06055360090563
"215",70,0.889087886284078
"217",13,0.602384431576316
"218",19,0.534997935318019
"219",10,0.303106269390659
"220",10,0.373255823149551
"221",35,0.519363585485842
"222",17,0.366646693608442
"235",21,0.747679200310078
"302",11,0.720256382468318
"310",13,0.505676514121145
"375",25,1.00440787603408
"516",45,1.20310521708273
"518",52,1.07173902415055
"520",14,0.31487365857337
"521",4,0.326951478424408
"522",39,0.660373918953576
"523",21,0.569857918012263
"524",8,0.525175314229426
"526",14,0.66391770834588
"527",28,0.395995970141272
"528",20,0.89318242956287
"530",38,1.01066187566992
"531",22,0.763255653854214
"532",7,0.391848160443512
"533",11,0.418877987921468
"535",46,1.45530440282652
"537",29,1.00059331906562
"538",16,0.616376642500708
"539",8,0.334556338196424
"540",26,0.83284048600385
"541",19,0.539811454862375
"543",11,0.882516795240039
"544",59,1.69895607340332
"545",7,0.40457957075184
"557",9,0.492518972027107
"595",18,1.29084743402989
"635",6,0.31963905895901
"636",15,0.650057262661999
"637",41,1.0532282144192
"644",12,0.329601270606675
"676",7,0.376288031306741
"677",7,0.310694181419091
"737",11,0.319495647152153
"749",11,0.810976639224279
"750",10,0.534966805130517
"753",57,1.21363582575261
"755",13,0.957672534115902
"830",14,0.705208754404782
"831",12,0.557937676695343
"832",8,0.501339600416108
"833",24,0.508445372519501
"834",35,0.729348811153842
"835",25,0.782807963975282
"837",15,0.570157270390735
"838",34,0.74673829260208
"839",8,0.624985786125245
"840",12,0.58456107454793
"841",17,0.633629273247809
"842",72,1.86759753327251
"843",65,1.43806092636055
"844",11,0.42794494172423
"845",57,1.53049204760523
"852",11,0.310797458223579
"993",10,0.300769855503724
"1038",11,0.49846076663487
"1045",7,0.329332854648655
"1064",47,0.811611434039611
"1078",18,0.794918868721748
"1079",14,0.755776990816323
