"","AV","OPC","Proportion"
"340",0.404276938833909,8.2,0.1705
"342",0.0129435212984686,0.3,0.02
"344",0.00711824652548446,0.45,0.000546448087431694
"345",0.618980983324857,15.6,0.2325
"346",0.884278542795501,15.65,0.0856353591160221
"347",0.935475068140718,20.95,0.092
"348",0.00223966604389339,0.1,0.055
"352",0.655516028190033,9.65,0.1785
"353",0.000179951048103534,0,0.027
"356",0.137728861646097,12.6,0.079
"357",0.91009209793867,22.45,0.119
"358",0.355649559633476,8.4,0.203
"359",0.247548167305725,8.85,0.0639097744360902
"360",0.191463734445536,7.95,0.1995
"361",0.803169906905839,15.25,0.195
"363",0.000198075373310793,0,0.00848356309650053
"364",0.404589764149572,14.15,0.096
"365",0.00602084476815861,0.05,0
"366",0.0155665931288487,0.6,0
"367",0.116410568245402,6.05,0.1165
"371",0.420932839649136,9.05,0.2385
"372",0.670991605764454,12.45,0.1565
"373",0.870387407070325,18.3,0.1375
"374",0.459418911683024,9.2,0.216
"376",0.342542404782421,16.85,0.380135205408216
"377",0.519201511570629,5.05,0.3555
"379",0.730171086671699,11.75,0.585
"381",0.535411674411014,9.3,0.152898922524371
"382",0.314520740470296,9.3,0.26
"383",0.710378722450907,13,0.548
"384",0.764054137642319,14.95,0.183
"385",0.285300037900951,20.1,0.0235
"386",0.00104663489399238,0,0
"389",0.787100006000304,14.25,0.224
"392",0.00631335191393787,1.5,0.018
"395",0.34685871611866,7.85,0.188
"396",0.432733170382534,9.05,0.0705
"399",0.665086720058528,12.95,0.313597591570497
"402",0.166830154853637,6.55,0.5605
"403",0.544459082849269,12.2,0.222
"405",0.409164264253798,8.7,0.1425
"406",0.675239295992765,12.05,0.146
"408",0.00240488401412232,0,0
"409",0.480966050545861,9.85,0.2205
"411",0.545129605213823,12.6,0.0988191423244251
"412",0.555396587189276,13.55,0.1525
"413",0.213733073418444,7.2,0.25
"414",0.728799661514038,11.8,0.2515
"415",0.537244975506894,9.95,0.4615
"416",0.154752823098403,14.7,0.0565693430656934
"417",0.715190641661427,16.4,0.108498129342598
"418",0.0352555585477191,3.45,0.00462724935732648
"419",0.00284199801799266,0.2,0.0102145045965271
"420",0.509846639095259,9.3,0.2175
"421",0.198957676042243,12.15,0.027
"422",0.0814815883441284,1.6,0.028
"424",0.528609562022614,9.65,0.121
"429",0.00142032950044656,0.1,0.007
"430",0.0735201623113189,6.9,0.136115250869349
"431",0.713135884379812,10.65,0.0585
"434",0.0812137751414541,5.55,0.018
"441",0.40960155194122,8.2,0.4335
"444",0.556157821688551,18.8,0.2585
"447",0.0570257457058819,0.1,0.0279388508170796
"448",0.458941704779649,23.35,0.0925
"449",0.639449818698459,16.85,0.351963746223565
"450",0.162862340709959,10.35,0.197839297771776
"452",3.84024240852839e-08,0,0.0305
"454",0.810916653682705,28.3,0.241
"455",0.260675273374584,14.9,0.0224043715846995
"458",0.525692346624733,15.55,0.272
"461",0.100710376749643,6,0.1245
"462",0.64883418299689,12.7,0.253
"463",0.0154869104691394,0.4,0
"464",0.10486575306843,5.15,0.05
"465",0.977821210873405,16.55,0.139
