"","1 AV","1 OPC","1 CMD","2 AV","2 OPC","2 EMD","3 AV","3 OPC","3 HMD"
"3495",0.764054137642319,14.95,0.000456055810982774,0.764054137642319,14.95,0.035423374054194,0.618980983324857,15.6,0.00162806859097915
"3496",0.764054137642319,14.95,0.00309243765213048,0.764054137642319,14.95,0.0967766307187751,0.618980983324857,15.6,0.0255322609991808
"3497",0.764054137642319,14.95,-7.03661539201474e-05,0.764054137642319,14.95,0.00183558124156311,0.618980983324857,15.6,0.00443834816051721
"3498",0.000236449097680618,0,7.27670973868344e-05,0.000236449097680618,0,-8.54997604038849e-05,0.618980983324857,15.6,0.00136748759075487
"3499",0.764054137642319,14.95,0.000440373800886483,0.764054137642319,14.95,0.00128787730714667,0.00223966604389339,0.1,0.0101691793473148
"3500",0.764054137642319,14.95,0.000192942101404519,0.764054137642319,14.95,0.00390717690816173,0.00223966604389339,0.1,0.00677870063763215
"3501",0.764054137642319,14.95,0.000171359733849926,0.764054137642319,14.95,0.00110527247446835,0.655516028190033,9.65,0.0202835187722593
"3502",0.190680231016716,11.55,0.000330749265965637,0.190680231016716,11.55,0.00400271051092826,0.187574616707844,6.75,0.00164905231636395
"3503",0.764054137642319,14.95,0.000173883383400872,0.764054137642319,14.95,0.00945455136645464,0.655516028190033,9.65,0.0376556781177282
"3504",0.285300037900951,20.1,0.000324788921731132,0.285300037900951,20.1,0.00350958102271514,0.655516028190033,9.65,0.00616697146985618
"3505",0.285300037900951,20.1,0.000607447706771918,0.285300037900951,20.1,0.00556460101647985,0.655516028190033,9.65,0.0135167758732063
"3506",0.285300037900951,20.1,0.000301291264105912,0.285300037900951,20.1,0.00217291295208362,0.655516028190033,9.65,0.0064148520624487
"3507",0.285300037900951,20.1,0.000657376109942453,0.285300037900951,20.1,-0.00144955949551096,0.655516028190033,9.65,0.00699465541579174
"3508",0.285300037900951,20.1,0.000771053129482648,0.285300037900951,20.1,-0.000897049249097061,0.655516028190033,9.65,0.0135905027824254
"3509",0.285300037900951,20.1,0.000100300751919631,0.285300037900951,20.1,0.00380880928592207,0.655516028190033,9.65,0.0134573939510505
"3510",0.000236449097680618,0,-4.77086040289792e-06,0.000236449097680618,0,0.000850616348245051,0.655516028190033,9.65,0.0278822448548933
"3511",0.285300037900951,20.1,0.000874792065281641,0.285300037900951,20.1,0.00335157815848452,0.655516028190033,9.65,0.00152671693155534
"3512",0.285300037900951,20.1,0.000911841250665844,0.285300037900951,20.1,0.00044281681038247,0.655516028190033,9.65,0.00660515089355015
"3513",0.190680231016716,11.55,0.000379903424411894,0.190680231016716,11.55,0.0373720140756416,0.187574616707844,6.75,0.00346467283963615
"3514",0.285300037900951,20.1,0.000527369333390728,0.285300037900951,20.1,0.00570206929250661,0.655516028190033,9.65,0.004071109630954
"3515",0.285300037900951,20.1,0.000142721078209144,0.285300037900951,20.1,0.00269067378772217,0.655516028190033,9.65,0.00308635148870176
"3516",0.285300037900951,20.1,0.000411677203974806,0.285300037900951,20.1,0.0010505026375464,0.655516028190033,9.65,0.00133117354349158
"3517",0.285300037900951,20.1,0.000276910261924504,0.285300037900951,20.1,0.00316708721759248,0.137728861646097,12.6,0.00207146875447552
"3518",0.285300037900951,20.1,-3.78229297922307,0.285300037900951,20.1,-3.75019787266966,0.137728861646097,12.6,0.00196716313292837
"3519",0.285300037900951,20.1,0.000952770974768697,0.285300037900951,20.1,-0.000423949294165075,0.137728861646097,12.6,0.00307768189981371
"3520",0.285300037900951,20.1,0.000468384700911563,0.285300037900951,20.1,0.0331083698132337,0.137728861646097,12.6,0.00218670840235788
"3521",0.285300037900951,20.1,0.000618314429324676,0.285300037900951,20.1,0.000411991371654749,0.137728861646097,12.6,0.00204638086103954
"3522",0.000236449097680618,0,0.000262919618284089,0.000236449097680618,0,9.51852393871778e-06,0.137728861646097,12.6,0.00318059343073581
"3523",0.285300037900951,20.1,0.000188964100050958,0.285300037900951,20.1,0.00278961746650468,0.137728861646097,12.6,0.00198900147029389
"3524",0.190680231016716,11.55,9.93816720983493e-05,0.190680231016716,11.55,-0.000170806804822984,0.187574616707844,6.75,0.00331255016805754
"3525",0.285300037900951,20.1,0.00125893105347979,0.285300037900951,20.1,0.0243159659671353,0.137728861646097,12.6,0.0055241101692807
"3526",0.285300037900951,20.1,0.000621521550990787,0.285300037900951,20.1,0.00038755816973937,0.137728861646097,12.6,0.0114515132274055
"3527",0.285300037900951,20.1,0.000387264047886187,0.285300037900951,20.1,0.00341789458135903,0.137728861646097,12.6,0.0076340556195436
"3528",0.285300037900951,20.1,0.000135857754480293,0.285300037900951,20.1,0.00242545943647591,0.137728861646097,12.6,0.00275615727830574
"3529",0.285300037900951,20.1,0.00038954589876259,0.285300037900951,20.1,-0.00140203967461406,0.137728861646097,12.6,0.000587055899942833
"3530",0.285300037900951,20.1,0.0019006196563642,0.285300037900951,20.1,0.0306427317160338,0.137728861646097,12.6,0.00775579517408987
"3531",0.285300037900951,20.1,0.000349455498184683,0.285300037900951,20.1,0.00283211464841087,0.137728861646097,12.6,0.00778016718528057
"3532",0.787100006000304,14.25,0.00116062779057337,0.787100006000304,14.25,0.0011653602664889,0.137728861646097,12.6,0.00232153776449322
"3533",0.787100006000304,14.25,0.00117201528282863,0.787100006000304,14.25,0.000560782255474894,0.137728861646097,12.6,0.00228724404754741
"3534",0.000236449097680618,0,-2.8250134643517e-05,0.000236449097680618,0,-0.000224991674317224,0.137728861646097,12.6,0.00396766800773579
"3535",0.190680231016716,11.55,0.000346983867012298,0.190680231016716,11.55,0.00245922227586319,0.187574616707844,6.75,0.00169454288162946
"3536",0.787100006000304,14.25,0.000156555984459678,0.787100006000304,14.25,0.00708075449529879,0.137728861646097,12.6,0.0033257469369091
"3537",0.787100006000304,14.25,0.000852861452436143,0.787100006000304,14.25,0.13066684267061,0.137728861646097,12.6,0.00142090888853791
"3538",0.787100006000304,14.25,0.000424825333799243,0.787100006000304,14.25,0.00723144181421735,0.137728861646097,12.6,0.00595890144648128
"3539",0.787100006000304,14.25,0.0018522317083385,0.787100006000304,14.25,0.0523920871543551,0.137728861646097,12.6,0.0198378732321152
"3540",0.787100006000304,14.25,0.0011490180951654,0.787100006000304,14.25,0.00342741428720661,0.137728861646097,12.6,0.0154922284897892
